City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Dwarka,IN,81.54,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
6,Atuona,PF,76.73,light rain,-9.8,-139.0333,Villa Enata
7,Padang,ID,78.31,light rain,-0.9492,100.3543,Mercure Padang
8,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
9,Canico,PT,75.7,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
16,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
17,Grand-Santi,GF,81.28,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
18,Jaszkarajeno,HU,80.92,clear sky,47.05,20.0667,hongarijepuszta.nl
21,Labuhan,ID,75.65,broken clouds,-6.8844,112.2051,DoubleFAG
28,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
35,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
36,Fomboni,KM,75.33,light rain,-12.28,43.7425,Auberge les abou
37,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
47,Iguape,BR,77.43,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
52,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
55,Ochakiv,UA,75.83,clear sky,46.6128,31.5498,Briz
57,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
58,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
61,Lodja,CD,77.54,overcast clouds,-3.4833,23.4333,
62,Balkhash,KZ,78.35,broken clouds,46.844,74.9804,Family
67,Hasaki,JP,77.4,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
73,Finschhafen,PG,78.48,overcast clouds,-6.6024,147.8681,Cossam Guest House
75,Lorengau,PG,80.94,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
76,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
92,Caazapa,PY,75.61,overcast clouds,-26.15,-56.4,Cabaña San Miguel - 11 Estrellas
94,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
97,Yumen,CN,76.84,broken clouds,40.2833,97.2,
98,Mill Valley,US,82.92,few clouds,37.906,-122.545,Best Western Corte Madera Inn
100,Katsuura,JP,79.38,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
103,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
105,Tautira,PF,77.34,light rain,-17.7333,-149.15,Pension Oaoa
110,Auki,SB,76.24,broken clouds,-8.7676,160.7034,Auki Motel
112,Dingle,PH,77.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
117,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
119,Ahuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
124,Touros,BR,77.83,clear sky,-5.1989,-35.4608,INN NEW HORIZON
125,Eldorado,BR,84.69,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
130,Jamestown,US,82.06,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
135,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Dhidhdhoo,MV,80.92,overcast clouds,6.8833,73.1,Dhidhoo beach
147,Pacific Grove,US,82.22,scattered clouds,36.6177,-121.9166,Lovers Point Inn
159,Marsh Harbour,BS,83.53,few clouds,26.5412,-77.0636,Abaco Beach Resort
163,Hirara,JP,84.16,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
175,Pandan,PH,81.18,light rain,14.0453,124.1694,Bonifacio Lodge
182,Houlton,US,82.81,broken clouds,46.1262,-67.8403,Ivey's Motor Lodge Houlton
186,Makat,KZ,78.21,broken clouds,47.6469,53.3463,Umit
190,Pathein,MM,80.02,scattered clouds,16.7833,94.7333,Pathein Hotel
193,Natal,BR,84.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
197,Sibolga,ID,76.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
200,Gasa,PS,78.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
203,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
211,Barra,BR,84.97,clear sky,-11.0894,-43.1417,Pousada Bahia
213,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
215,Namatanai,PG,79.48,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
227,Mogadishu,SO,76.1,scattered clouds,2.0371,45.3438,Hotel Juba
233,Rio Claro,BR,80.11,clear sky,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
236,North Bend,US,78.93,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
237,Delijan,IR,82.56,scattered clouds,33.9905,50.6838,ایزوگام آسیاگستر
241,Corinto,GR,82.89,clear sky,37.9407,22.9573,Ephira Hotel
246,Wanning,CN,79.54,scattered clouds,18.8003,110.3967,Paradise Hotel
247,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
250,Ambon,ID,77.14,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
255,Boende,CD,75.4,overcast clouds,-0.2167,20.8667,
256,Kitimat,CA,80.98,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
260,Powell River,CA,83.03,haze,49.8496,-124.5361,Rodmay Hotel
