City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,2022-07-28 19:47:38,-46.1927,168.8643,47.48,98,100,3.13,overcast clouds
1,Ushuaia,AR,2022-07-28 19:47:39,-54.8,-68.3,46.06,53,75,17.27,broken clouds
2,Lavrentiya,RU,2022-07-28 19:46:52,65.5833,-171.0,43.7,88,100,4.94,overcast clouds
3,Khatanga,RU,2022-07-28 19:44:24,71.9667,102.5,59.31,69,53,5.06,broken clouds
4,Dwarka,IN,2022-07-28 19:47:39,22.2394,68.9678,81.54,78,88,11.97,overcast clouds
5,Esperance,AU,2022-07-28 19:47:40,-33.8667,121.9,57.16,81,1,12.37,clear sky
6,Atuona,PF,2022-07-28 19:46:33,-9.8,-139.0333,76.73,77,28,24.96,light rain
7,Padang,ID,2022-07-28 19:42:55,-0.9492,100.3543,78.31,85,100,4.16,light rain
8,Port Blair,IN,2022-07-28 19:47:40,11.6667,92.75,82.44,83,40,3.44,mist
9,Canico,PT,2022-07-28 19:47:41,32.6333,-16.85,75.7,78,20,11.5,few clouds
10,Albany,US,2022-07-28 19:44:27,42.6001,-73.9662,90.05,54,100,7.49,overcast clouds
11,Westport,US,2022-07-28 19:47:41,41.1415,-73.3579,91.31,63,0,6.91,clear sky
12,Henties Bay,NA,2022-07-28 19:47:41,-22.116,14.2845,54.3,89,35,7.49,scattered clouds
13,Port Alfred,ZA,2022-07-28 19:47:42,-33.5906,26.891,63.18,86,1,14.07,clear sky
14,Saldanha,ZA,2022-07-28 19:47:42,-33.0117,17.9442,59.05,87,14,11.16,few clouds
15,Barrow,US,2022-07-28 19:47:42,71.2906,-156.7887,33.4,99,100,12.33,light snow
16,Kahului,US,2022-07-28 19:47:43,20.8947,-156.47,84.97,63,20,12.66,few clouds
17,Grand-Santi,GF,2022-07-28 19:47:43,4.25,-54.3833,81.28,90,100,1.68,overcast clouds
18,Jaszkarajeno,HU,2022-07-28 19:47:43,47.05,20.0667,80.92,43,0,4.61,clear sky
19,Norman Wells,CA,2022-07-28 19:47:44,65.282,-126.8329,60.84,63,75,6.91,broken clouds
20,Morehead,US,2022-07-28 19:47:44,37.2711,-87.1764,88.79,73,75,6.91,broken clouds
21,Labuhan,ID,2022-07-28 19:47:45,-6.8844,112.2051,75.65,86,68,7.76,broken clouds
22,Stolin,BY,2022-07-28 19:47:45,51.8912,26.846,59.0,70,97,5.35,overcast clouds
23,Hilo,US,2022-07-28 19:47:46,19.7297,-155.09,85.28,76,20,3.44,few clouds
24,Punta Arenas,CL,2022-07-28 19:46:18,-53.15,-70.9167,44.71,81,75,28.77,light intensity shower rain
25,Cape Town,ZA,2022-07-28 19:45:03,-33.9258,18.4232,60.89,81,75,19.57,broken clouds
26,Busselton,AU,2022-07-28 19:47:46,-33.65,115.3333,59.81,83,100,18.52,overcast clouds
27,Clyde River,CA,2022-07-28 19:47:46,70.4692,-68.5914,39.43,100,100,13.8,light rain
28,Faanui,PF,2022-07-28 19:47:47,-16.4833,-151.75,79.39,71,1,24.65,light rain
29,Kodiak,US,2022-07-28 19:47:47,57.79,-152.4072,60.31,67,0,5.75,clear sky
30,New Norfolk,AU,2022-07-28 19:47:47,-42.7826,147.0587,42.3,84,7,1.01,clear sky
